date,headline,source,summary
2024-03-01,Press release enclosed,BSE,PROG Holdings And Infosys Forge Strategic Collaboration To Bring AI-Powered Experiences To Customers And Intelligent Automation To Operations
2024-03-01,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-04,Press release enclosed.,BSE,Ethisphere Recognizes Infosys Among 2024 World'S Most Ethical Companies® For The Fourth Consecutive Year
2024-03-05,Press release enclosed.,BSE,Infosys Springboard And Table Tennis Victoria Rally To Nurture Digital Learning And Leadership Skills
2024-03-05,Investor Conference,BSE,Investor Conference
2024-03-06,Press release enclosed.,BSE,"Infosys And ATP Renew Partnership Until 2026, To Drive AI-First Innovations In Professional Tennis"
2024-03-08,Allotment of equity shares pursuant to exercise of ESOPs,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-08,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-11,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-15,"INFOSYS LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 18/04/2024 ,inter alia, to consider and approve 1. Approve and take on record the ....",BSE,"Board Meeting Intimation for Board Meeting Intimation For Considering Financial Results For The Quarter And Financial Year Ending March 31, 2024"
2024-03-15,Resignation of Senior management personnel,BSE,Resignation Of Senior Management Personnel
2024-03-16,Allotment of equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-18,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 Narayana Murty",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-03-18,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Master Ekagrah Rohan Murty",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-03-19,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-03-21,Press release enclosed.,BSE,Infosys Foundation USA And Boys & Girls Clubs Of Hartford Unite To Ignite Passion For STEAM Education With 2Nd Annual STEAM Fair
2024-03-22,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-23,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-26,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-26,Allotment of ESOPs,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-03-27,Press release enclosed.,BSE,Infosys And Handelsblatt Media Group Announce Strategic Collaboration
2024-03-27,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-28,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-03-30,Intimation under Regulation 30 of SEBI LODR Regulations,BSE,Intimation Under Regulation 30 Of SEBI LODR Regulations
2024-04-01,Certificate enclosed,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-04-01,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for SBICAP Trustee Company Ltd",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-04-01,Disclosure under Regulation 30 of SEBI LODR Regualtions,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-03,Press release enclosed.,BSE,Zand Bank Subscribes To Infosys Finacle'S Corporate Banking Suite On Microsoft Cloud To Deliver New-Age Banking Experiences
2024-04-05,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-08,Press release enclosed.,BSE,"Infosys To Announce Fourth Quarter And Annual Results On April 18, 2024"
2024-04-10,Press release enclosed.,BSE,Infosys Topaz And Intel Collaborate To Accelerate Enterprise Growth And Efficiency With Generative AI
2024-04-10,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-12,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-15,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for S D Shibulal",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-04-16,Press release enclosed.,BSE,Financial Times And Infosys Launch Free FT Schools Content For Indian Students
2024-04-16,certificate enclosed.,BSE,"Compliance Certificate Pursuant To Regulation 7 (3) Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015, As Amended For The Year Ended March 31, 2024"
2024-04-16,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-17,Press release enclosed.,BSE,Proximus Revamps Customer Service Operations Platform In Collaboration With Infosys
2024-04-18,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-18,Certificate enclosed,BSE,"Certificate In Terms Of Regulation 40 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015, As Amended."
2024-04-18,Disclosure under Regulation 30 of SEBI (LODR),BSE,Disclosure Under Regulation 30 Of SEBI (LODR)
2024-04-18,Acquisition of in-tech Holding GmbH,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-04-18,"Results for the quarter and year ended March 31, 2024",BSE,"Results For The Quarter And Year Ended March 31, 2024"
2024-04-18,"Board meeting outcome for the quarter and year ended March 31, 2024",BSE,"Board Meeting Outcome for Board Meeting Outcome For The Quarter And Year Ended March 31, 2024"
2024-04-19,"Report of Auditors on financial statements for the quarter and year ended March 31, 2024 with UDIN",BSE,Report Of Auditors With UDIN
2024-04-19,Newspaper advertisement enclosed.,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-23,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-04-23,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-04-30,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-01,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-01,Intimation under Regulation 30 of SEBI LODR Regulations,BSE,Intimation Under Regulation 30 Of SEBI LODR Regulations
2024-05-02,Press release enclosed.,BSE,Infosys Positioned As A Leader In Application Modernization And Migration Services By Independent Research Firm
2024-05-02,Modification to the Trust Deeds consequent to the change in the composition of the Trustees - Infosys Employee Benefits Trust and Infosys Expanded Stock Ownership Trust.,BSE,Modification To The ESOP Trust Deeds
2024-05-03,"Allotment of 6,57,328 equity shares towards exercise of ESOPs.",BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-04,Grant of stock incentive units,BSE,Grant Of Stock Incentive Units
2024-05-06,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-07,Press release enclosed,BSE,Infosys And Servicenow Strengthen Strategic Collaboration To Transform Customer Experiences With Generative AI-Powered Industry Solutions.
2024-05-08,Press release enclosed,BSE,Infosys To Accelerate Yunex Traffic'S ERP Transformation
2024-05-09,Press release enclosed,BSE,Infosys And Formula E Strike New Partnership To Enable Next-Gen Fan Experiences Powered By AI And Digital Innovations
2024-05-10,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-10,Press release enclosed,BSE,"Infosys Completes Acquisition Of Leading Semiconductor Design Services Provider, Insemi"
2024-05-13,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-14,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-14,Press release enclosed,BSE,Infosys Collaborates With First Abu Dhabi Bank To Optimize And Modernize Its IT Infrastructure Services
2024-05-15,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-15,Press release enclosed,BSE,Infosys And SAP Emarsys Collaborate To Deliver Enhanced Personalized Omnichannel Experience For Clients
2024-05-16,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Bhairavi Madhusudhan Shibulal",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-05-16,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-16,Press release enclosed,BSE,Infosys Collaborates With Telstra For AI-Led Engineering Transformation
2024-05-17,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-21,Investor Conference,BSE,Investor Conference
2024-05-21,"Allotment of 370,503 equity shares pursuant to exercise of ESOPs.",BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-05-23,Annual Secretarial Compliance Report,BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2024-05-25,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-28,Press release enclosed,BSE,Infosys Collaborates With Commerzbank To Transform Its Trading Ecosystem
2024-05-28,Investor Conference,BSE,Investor Conference
2024-05-28,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-05-29,Press release enclosed,BSE,"Game, Set, AI: Infosys Brings Advanced AI-Led Innovations To Roland-Garros 2024"
2024-05-31,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-01,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-03,Integrated Annual Report for FY 2023-24 along with 43rd AGM notice,BSE,Reg. 34 (1) Annual Report.
2024-06-03,43rd AGM notice and Integrated Annual Report for FY 2023-24,BSE,43Rd AGM Notice And Integrated Annual Report For FY 2023-24
2024-06-04,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-04,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-04,Press release enclosed,BSE,Infosys Collaborates With Nihon Chouzai To Expand Healthcare Access In Japan
2024-06-07,Press release enclosed,BSE,'Girls In STEM' Mentor Program Empowers Middle School Students In Houston
2024-06-07,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-09,Disclosure under Regulation 39(3) of LODR Regulations,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-12,Press release enclosed,BSE,Infosys A Top 100 Most Valuable Brand In The World By Kantar Brandz; Ranked Among The Most-Trusted Brands In India And The US
2024-06-13,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-13,enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-14,"INFOSYS LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 18/07/2024 ,inter alia, to consider and approve 1. Approve and take on record the ....",BSE,Board Meeting Intimation for Notice Of Board Meeting
2024-06-14,Allotment of equity shares pursuant to exercise of ESOPs,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-06-15,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-06-17,Enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-18,Press release enclosed,BSE,"Launched Today: Infosys Astertm - The AI-Amplified Marketing Suite That Delivers Engaging Brand Experiences, Enhanced Marketing Efficiency, And Accelerated Business Growth"
2024-06-20,As per attached,BSE,Press Release - Infosys To Ring The Opening Bell® At The New York Stock Exchange
2024-06-23,enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-06-25,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-25,"Please find enclosed the press release titled ""Infosys Annual Report on Form 20-F for the fiscal 2024 available online for ADR holders"" and Form 20-F for the year ended March 31, 2024 filed ....",BSE,Form 20-F And Press Release
2024-06-26,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-26,Proceedings of the 43rd AGM,BSE,Shareholder Meeting / Postal Ballot-Outcome of AGM
2024-06-27,Company Statement,BSE,Company Statement
2024-06-27,Enclosed,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-06-27,Press release enclosed,BSE,Infosys BPM Opens Second Office In Aguadilla; Brings New Jobs To The Island
2024-06-27,Scrutinizers report and voting results of 43rd AGM,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2024-06-28,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-07-01,Enclosed,BSE,Transcript Of The 43Rd Annual General Meeting Of The Company
2024-07-03,Press release enclosed,BSE,Infosys Foundation To Enhance Employability Of Young Learners In Rural India
2024-07-03,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-07-05,Enclosed,BSE,Resignation Of Senior Management Personnel
2024-07-08,Certificate enclosed,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-07-09,Press release enclosed,BSE,Infosys Collaborates With Sector Alarm To Fuel Growth Through Cloud-Based Microsoft Dynamics ERP
2024-07-10,enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-07-10,Press release enclosed,BSE,"Infosys To Announce First Quarter Results On July 18, 2024"
2024-07-11,Press release enclosed,BSE,Delaware Department Of Labor Selects Infosys Public Services To Modernize Its Labor Systems
2024-07-12,Press release enclosed,BSE,Infosys Foundation USA Joins Forces With Congressional App Challenge To Champion STEM Education Across The U.S.
2024-07-17,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-07-18,"Results for the quarter ended June 30, 2024",BSE,"Results For The Quarter Ended June 30, 2024"
2024-07-19,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-07-19,"Auditors report with UDIN for the quarter ended June 30, 2024",BSE,"Auditors Report With UDIN For The Quarter Ended June 30, 2024"
2024-07-23,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-07-26,Allotment of ESOPs,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-07-30,Press release enclosed,BSE,Infosys Collaborates With TDC Net To Accelerate Digital Transformation
2024-07-31,Company Statement,BSE,Rumour verification - Regulation 30(11)
2024-07-31,Press release enclosed,BSE,"67% Of Global Enterprises Have Sophisticated Cloud Strategies, Yet Less Than 10% Have Fully Integrated AI, Says MIT Technology Review Insights Report With Infosys Cobalt"
2024-07-31,Enclosed,BSE,Amendment To The ESOP Trust Deeds
2024-08-01,"Update on Company statement dated July 31, 2024, on pre-show cause notice on GST",BSE,"Update On Company Statement Dated July 31, 2024, On Pre-Show Cause Notice On GST"
2024-08-01,Press release enclosed,BSE,"Infosys And Servicenow Expand AI Collaboration
To Revolutionize Service Delivery"
2024-08-03,"further update on Company statement dated July 31, 2024 on GST",BSE,"Further Update On Company Statement Dated July 31, 2024 On GST"
2024-08-03,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-06,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-13,Enclosed,BSE,Investor Conference
2024-08-14,As enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-08-19,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-08-21,Enclosed,BSE,Investor Conference
2024-08-21,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-23,Enclosed,BSE,Investor Conference
2024-08-27,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-28,Press release enclosed,BSE,Infosys Joins Stanford HAI Affiliate Program To Accelerate Enterprise AI Research Initiatives
2024-08-28,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-29,Press release enclosed,BSE,Infosys To Introduce High-Performance Generative AI-Powered Telco Solutions Based On NVIDIA Nims
2024-08-30,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-08-30,Press release enclosed,BSE,Infosys Foundation USA Opens Tech Innovation Lab In North Carolina
2024-08-30,"Allotment of 19,729 equity shares towards exercise of ESOPs",BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-08-31,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-09-02,Enclosed,BSE,Investor Conference
2024-09-04,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-09-04,Enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-09-06,Press release enclosed,BSE,Infosys And The Financial Times Unveil The 'FT Money Machine' Through Immersive Extended Reality Experience
2024-09-09,Enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-09-10,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Bhairavi Madhusudhan Shibulal",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-09-10,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Shreyas Shibulal",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-09-10,Press release enclosed,BSE,Infosys Positioned As A Leader In Continuous Automation And Testing Services By Independent Research Firm
2024-09-11,Press release enclosed,BSE,"Infosys Collaborates With Clearstream, Part Of Deutsche Börse, To Enhance Digital Issuance Platform To Simplify Securities Issuance And Servicing"
2024-09-12,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-09-13,"INFOSYS LTD.has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 17/10/2024 ,inter alia, to consider and approve the financial results and proposal ....",BSE,"Board Meeting Intimation for The Financial Results And Proposal For Interim Dividend, If Any,"
2024-09-13,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Gaurav Manchanda",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-09-13,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Milan Shibulal Manchanda",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-09-14,Notice of Board meeting - Advertisement,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-09-15,Allotment of Equity Shares pursuant to exercise of ESOPs,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-09-16,Press release titled - Infosys Collaborates with Life Insurance Corporation of India to Accelerate Digital Transformation.,BSE,Infosys Collaborates With Life Insurance Corporation Of India To Accelerate Digital Transformation
2024-09-17,Press release enclosed,BSE,Metro Bank Forges Strategic Collaboration With Infosys To Accelerate Digital Transformation
2024-09-19,Press release enclosed,BSE,Infosys And Posti Extend Strategic Collaboration
2024-09-19,Company statement enclosed,BSE,Company Statement
2024-09-20,Press release enclosed,BSE,"Infosys Foundation Enables Record-Setting Volunteering Initiative: Over 200,000 Seedballs Made For Reforestation Projects Across India"
2024-09-24,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-09-25,Press release enclosed,BSE,"Infosys And Polestar Enter Strategic Collaboration By Opening Technology Hub In Bengaluru, India"
2024-09-26,Press release enclosed,BSE,Infosys Announces Strategic Collaboration With Sally Beauty To Bring Enterprise-Scale IT Efficiencies From Hyper-Automation
2024-10-02,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-10-03,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-10-03,Enclosed,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-10-08,Press release enclosed,BSE,Infosys' Collaboration With Old National Is Accelerating The Bank'S Operational And Technological Transformation
2024-10-08,Enclosed,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
